②⑼⑰⑹	'twas
③⒈②⒌	carter
③⒈②⑥	carts
③⒈⑷⑵	carved
③⒈⑷⒌	carver
③⒈⑷⑹	carves
③⒁⑥②	cased
③⑮⑦⒍	cashier
③⑳⑥③	cask
③⑳⑥②	cast
③⑯②⒈	catarrh
③⑮⑧⒌	catcher
③⑮⑧⑬	catchy
③⒁②⒌	cater
③⑮②⑥	cats
③⑮②⑬	catty
③⒇⑹⑵	caused
③⒁⑷⑵	caved
③⒁⑷⑹	caves
③⒇⑬⑩	cawing
③⒁⑭⑿	cayenne
⑥⒀⑥⒀	cc
⑥⒀⑵⒀	cd
⑥⒀⑥②	ceased
⑥⒀⑵⒌	cedar
⑥⒀⑵⑹	seeds
⑥⒀⑪⒎	celia
⑥⑭⑪⒌	seller
⑧⑭⑪⒄	cello
⑥⑭⑪⑹	cells
③⑭⑪②	celt
⑥⑭⑿②	sent
⑥⒍⒎⑪	serial
⑥⒌⒀⑹	cerise
⑥⒋②⑥	certs
⑥⒀⑭④	cf
⑧⒁④②	chafed
⑧⒁④⑥	chafes
⑧⑮④②	chaffed
⑧⑮④⑥	chaffs
⑧⑮④⑬	chaffy
⑧⒁⑿⑵	chained
⑧⒁⑿⑹	chains
⑧⒊⑬⑩	chairing
⑦⑮⑪⒁	chalet
⑧⒇③②	chalked
⑧⒇③⑥	chalks
⑧⒇③⑬	chalky
⑧⑮⑫①	champ
⑧⑳⑿⑥	chance
⑧⒁⑿⑻	change
⑧⑳⑿②	chant
③⒁⑰⑥	chaos
⑧⑮①②	chapped
⑧⑮①⑬	chappie
⑧⑮①⑥	chaps
⑦⒌⑳⑵	charade
⑧⒈⑵⑹	chards
⑧⒈⑻⑵	charged
⑧⒈⑻⒌	charger
⑧⒈⑫⑵	charmed
⑧⒈⑫⒌	charmer
⑧⒈⑫⑹	charms
⑧⒈⑬⑩	charring
⑧⒈②⒌	charter
⑧⒈②⑥	charts
⑧⒁⑥②	chased
⑧⒁⑥⒌	chaser
⑦⑮⑥⑬	chassis
⑦⑮②⒄	chateau
⑧⑮②⑥	chats
⑧⑮②⒌	chatter
⑧⑮②⑬	chatty
⑦⒄④⒌	chauffeur
⑧⒇⑬⑩	chawing
⑧⒀①⒌	cheaper
⑧⒀②⑥	cheats
⑧⑭③②	checked
⑧⑭③⒌	checker
⑧⑭③⑥	cheques
⑧⑭⑵⒌	cheddar
⑧⒀③②	cheeked
⑧⒀③⑥	cheeks
⑧⒀③⑬	cheeky
⑧⒀①②	cheeped
⑧⒀①⑥	cheeps
⑧⒍⑬⑩	cheering
⑧⒍⑬⒄	cheerio
⑧⒀②⑯	cheetah
⑦⑭④⑥	chefs
⑦⒌⒅②	cheroot
⑧⑭⑾⑬	cherry
⑧⑭⑥②	chest
⑧⒅⑬⑩	chewing
⑦⒀⑦⒀	chichi
⑧⑬③⑥	chicks
⑧⒂⑵⑹	chides
⑧⒀④⑥	chiefs
⑧⒂⑪⑵	child
⑧⑬⑪⑵	chilled
⑧⑬⑪⑬	chilly
⑧⑬⑪⑹	chills
⑧⒂⑫⑵	chimed
⑧⒂⑫⑹	chimes
⑧⑬⑫①	chimp
⑧⒂⑿⑯	china
⑧⒂⑿⑹	chines
⑧⑬⑩③	chink
⑧⑬⑿⑹	chins
⑧⑬①②	chipped
⑧⑬①⑥	chips
⑧⒋①②	chirped
⑧⒋①⑥	chirps
⑧⒋①⑬	chirpy
⑧⑬②⑥	chits
⑧⒂⑷⑹	chives
⑧⑬⑷⑬	chivvy
⑧⑰③②	chocked
⑧⑰③⑥	chocs
③⑼⒂⒌	choir
⑧⒄③②	choked
⑧⒄③⒌	choker
⑧⒄③⑥	chokes
⑧⒄③⑬	chokey
③⑰⑪⒌	collar
⑧⒅⑹⑬	choosy
⑧⑰①②	chopped
⑧⑰①⒌	chopper
⑧⑰①⑬	choppy
⑧⑰①⑥	chops
③⒉⑯⑪	choral
③⒌⑳⑪	corral
③⒉⑵⑹	chords
③⒉⑯⑥	chorus
⑧⑲⑵⒌	chowder
③⑾⒄⑫	chrome
⑧⒃⑴⑬	chubby
⑧⒃③②	chucked
⑧⒃③⑥	chucks
⑧⒃⑶⑵	chugged
⑧⒃⑶⑹	chugs
⑧⒃③⒌	chukker
⑧⒃⑫⑵	chummed
⑧⒃⑫⑬	chummy
⑧⒃⑫①	chump
⑧⒃⑫⑹	chums
⑧⒃⑩③	chunk
⑧⒋⑪⑹	churls
⑧⒋⑿⑵	churned
⑧⒋⑿⑹	churns
⑧⑱⒌⒄	churro
⑦⒅②⑥	shoots
⑥⒂⑵⒌	cider
⑥⑬⑶⒈	cigar
⑥⑬⑿⑧	cinch
⑥⒂④⒌	cipher
⑥⒋③⑯	circa
⑥⑬⑥⑬	cissy
⑥⒂②⑥	sites
⑥⑬②⑬	city
③⑪⑮③	clack
③⑪⑮⑵	clad
③⑪⒁⑵	clade
③⑪⒁⑫	claim
③⑪⑮⑫	clam
③⑪⑮⑿	clan
③⑪⑮⑩	clang
③⑪⑮①	clap
③⑪⑮⑦	clash
③⑪⑳⑥	class
③⑪⒇⑹	clause
③⑪⒁⑷	clave
③⑪⒇⑵	clawed
③⑪⒁⑬	clayey
③⑪⒁⑹	clays
③⑪⒀⑿	clean
③⑪⒍⑵	cleared
③⑪⒍⒌	clearer
③⑪⒍⑹	clears
③⑪⒀②	cleat
③⑪⒀⑷	cleave
③⑪⑭④	clef
③⑪⒈③	clerk
③⑪⒅⑵	clewed
③⑪⒅⑹	clues
③⑪⑬③	click
③⑪⑬④	cliff
③⑪⒂⑫	climb
③⑪⑬⑩	cling
③⑪⑬①	clip
③⑪⒀③	clique
③⑪⒄③	cloak
③⑪⑰⑦	cloche
③⑪⑰③	clock
③⑪⑰⑵	clod
③⑪⑰⑶	clog
③⑪⒄⑿	clone
③⑪⒄⑥	close
③⑪⒄⑹	close
③⑪⑰②	clot
③⑪⑰⑤	cloth
③⑪⒄⑸	clothe
③⑪⑲⑵	cloud
③⑪⑲②	clout
③⑪⒄⑷	clove
③⑪⑲⑿	clown
③⑪⒆⑵	cloyed
③⑪⒆⑹	cloys
③⑪⒃⑴	club
③⑪⒃③	cluck
③⑪⒃⑩	clung
③⑪⒃⑧	clutch
⑥⒀⑭⑫	cm
③⒄⑧②	coached
③⒄⑪⑵	cold
③⒄⑪⑹	coals
③⒉⑥⒌	coarser
③⒄⑥②	coast
③⒄②⒀	coatee
③⒄②⑥	coats
③⒄③⑥	coax
③⑰⑴⒌	cobber
③⑰⑴⑹	cobs
③⑰③②	cocked
③⑰③⒌	cocker
③⑰③⑥	cocks
③⑰③⑬	cocky
③⒄③⒄	cocoa
③⒄⑵⑯	coda
③⒄⑵⑹	codes
③⑰⑻⒌	codger
③⑰⑵⑹	cods
③⒄⒋⑥	coerce
③⑰④⑬	coffee
③⑰④⒌	coffer
③⑰⑶⑹	cogs
③⒄⑽⒍	cohere
③⒆④⑥	coifs
③⒆⑿⑹	coins
③⒆⑪⑵	coiled
③⒆⑪⑹	coils
③⒆⑿⑵	coined
③⒆⑿⒌	coiner
③⒄③②	coked
③⒄⑪⑯	cola
③⑰⑪⑬	collie
③⑰⑪⒍	collier
③⒃⑪⒌	colour
③⑰⑪⑹	cols
③⒄⑪②	colt
③⒄⑫⑯	coma
③⒄⑫⑵	combed
③⒄⑫⑹	combs
③⒃⑫⒌	comer
③⒃⑫⑹	comes
③⑰⑫⑯	comma
③⑰⑿⑧	conch
③⒄⑿⑵	coned
③⒄⑿⑹	cones
③⒄⑿⑬	coney
③⑰⑩③	conk
③⑰⑿⑵	conned
③⑰⑿⑥	cons
③⑰⑿⑹	cons
③⑰⑿②	cont
③⒅⑬⑩	cooing
③⑱③②	cooked
③⑱③⒌	cooker
③⑱③⑬	cookie
③⑱③⑥	cooks
③⒅⑪⑵	cooled
③⒅⑪⒌	cooler
③⒅⑪⑬	coolie
③⒅⑪⑹	cools
③⒅⑿⑹	coons
③⒅①②	cooped
③⒅①⒌	cooper
③⒅①⑥	coops
③⒅②⑥	coots
③⒄①②	coped
③⒄①⑥	copes
③⑰①⒍	copier
③⑰①②	copt
③⑰①⒌	copper
③⑰①⑥	cops
③⑰①⑬	copy
③⒉⑶⑬	corgi
③⒉⑬⑩	coring
③⒉③②	corked
③⒉③⒌	corker
③⒉③⑥	corks
③⒉⑫⑹	corms
③⒉⑿⒎	cornea
③⒉⑿⑵	corned
③⒉⑿⒌	corner
③⒉⑿⑹	corns
③⒉⑿⑬	corny
③⒉①⑥	corpse
③⑰⑾⑬	corrie
③⒌⒄⑵	corrode
③⒉⑥⒊	corsair
③⒉⑷⒁	corvee
③⑰⑦②	coshed
③⒄⑦⒌	kosher
③⑰⑥②	cost
③⒄⑹⑬	cosy
③⑰②⑥	cots
③⑰②⒌	cottar
③⑲⑧②	couched
③⒅⑶⒌	cougar
③⑰④②	coughed
③⑰④⑥	coughs
③⑲⑿②	count
③⒅①⒁	coupe
③⑱⑾⒍	courier
③⒉⑥②	coursed
③⒉②⒍	courtier
③⒉②⑥	courts
③⒃⑷⒌	cover
③⒄⑷⑹	coves
③⒃⑷⑬	covey
③⑲⒌⑵	coward
③⑲⑴⒆	cowboy
③⑲⒌⑹	cowers
③⑲⑬⑩	cowing
③⑲⑪⑵	cowled
③⑲⑪⑹	cowls
③⑲⑾⑬	cowrie
③⒆⑪⑬	coyly
③⒆①⒅	coypu
⑥⒀①⒀	cp
③⑾⑮⑴	crab
③⑾⑮③	crack
③⑾⑮⑶	crag
③⑾⒁③	crake
③⑾⑮⑫	cram
③⑾⒁⑿	crane
③⑾⑮①	crap
③⑾⒁①	crepe
③⑾⑮⑦	crash
③⑾⑮⑥	crass
③⑾⒁②	crate
③⑾⒁⑷	crave
③⑾⒇⑪	crawl
③⑾⒁⑹	craze
③⑾⒀③	creek
③⑾⒀⑫	cream
③⑾⒀⑥	crease
③⑾⒁⑦	creche
③⑾⒀⑵	creed
③⑾⒀⑪	creel
③⑾⒀①	creep
③⑾⑭⑥	cress
③⑾⒅⑵	crude
③⑾⒅⑹	crews
③⑾⑬⑴	crib
③⑾⑬③	crick
③⑾⒂⑵	cried
③⑾⒂⒌	crier
③⑾⒂⑹	cries
③⑾⒂⑫	crime
③⑾⒄③	croak
③⑾⑰③	crock
③⑾⒄⑿	crone
③⑾⑱③	crook
③⑾⒅⑿	croon
③⑾⑰①	crop
③⑾⒉⑹	crores
③⑾⑰⑥	cross
③⑾⑰⑧	crotch
③⑾⑲⑧	crouch
③⑾⒅①	croup
③⑾⑲⑵	crowd
③⑾⒄⑵	crowed
③⑾⑲⑿	crown
③⑾⒄⑹	crows
③⑾⑼⑳	croy
③⑾⒃⑫	crumb
③⑾⒃⑦	crush
③⑾⒃⑧	crutch
③⒃⑴⑬	cubby
③⒏⑴⑵	cubed
③⒏⑴⑹	cubes
③⒃⑴⑹	cubs
③⑱③⒅	cuckoo
③⒏⑬⑩	queueing
③⒃④②	cuffed
③⒃④⑥	cuffs
③⒃⑪⑵	culled
③⒃⑪⑹	culls
③⒃⑪②	cult
③⒃⑿②	cunt
③⒃①⑯	cuppa
③⒃①②	cupped
③⒃①⑥	cups
③⒋⑴⑵	curbed
③⒋⑴⑹	curbs
③⒋⑵⑹	curds
③⑨⑱⒌	cure
③⒋④⒏	curfew
③⒋⑪⑵	curled
③⒋⑪⒌	curler
③⒋⑪⒏	curlew
③⒋⑪⑹	curls
③⒋⑪⑬	curly
③⒋⑬⑦	currish
③⒃⑾⑬	curry
③⒋⑥②	cursed
③⒋⑥⒌	cursor
③⒋⑷⑵	curved
③⒋⑷⑹	curves
③⑱⑦⑬	cushy
③⒃⑥①	cusp
③⒏②⒌	cuter
③⒃②⑥	cuts
③⒃②⒌	cutter
⑥⑬⑥②	cyst
②⑥⒈⑹	tsars
⑵⑮⑴⑵	dabbed
⑵⑮⑴⑹	dabs
⑵⑮⑧⑯	dacha
⑵⑮⑵⑬	daddy
⑵⒁⑵⒄	dado
⑵⑮⑵⑹	dads
⑵⑳④②	daft
⑵⑮⑶⒌	dagger
⑵⒁⑶⒄	dago
⑵⒁⑪⒎	dahlia
⑵⒁⑪⑬	daily
⑵⒊⑬⑹	dairies
⑵⒁⑬⑥	dais
⑵⒁⑹⑬	daisy
⑵⒁⑪⑹	dales
⑵⑮⑪⑬	dally
⑵⒁⑫⑹	dames
⑵⑮⑫⑵	damned
⑵⑮⑫⑹	dams
⑵⑮⑫①	damp
⑵⑳⑿⑥	dance
⑵⒁⑿⑹	danes
⑵⑮⑩③	dank
⑵⑮①⒌	dapper
⑵⒊⑿②	daren't
⑵⒊⑥⒁	daresay
⑵⒊⑬⑩	daring
⑵⒈③⒌	darker
⑵⒈③⑬	darky
⑵⒈⑿⑵	darned
⑵⒈⑿⑹	darns
⑵⒈②⑥	darts
⑵⑮⑦②	dashed
⑵⒁②⑯	data
⑵⒁②⑥	dates
⑵⒇⑴⑵	daubed
⑵⒇⑴⒌	dauber
⑵⒇⑴⑹	daubs
⑵⒇②⒌	daughter
⑵⒇⑿②	daunt
⑵⒇⑿⑵	dawned
⑵⒇⑿⑹	dawns
⑵⒁⑴⒆	dayboy
⑵⒁⑹⑵	dazed
⑵⑭⑵⒌	deader
⑵⑭④⒌	deafer
⑵⒀⑪⒌	dealer
⑵⒀⑪⑹	deals
⑵⑭⑪②	dealt
⑵⒀⑿⑹	deans
⑵⒍⑬⑹	dearies
⑵⒍⑪⑬	dearly
⑵⒋⑤⑥	dearths
⑵⑭⑤⑥	deaths
⑵⒀⑴⒈	debar
⑵⑭⑴⑹	debs
⑵⑭②⒌	debtor
⑵⑭②⑥	debts
⑵⒁⑴⒏	debut
⑵⑬③⒁	decay
⑵⑭③②	decked
⑵⑭③⒌	decker
⑵⑭③⑥	decks
⑵⒁③⒉	decor
⑵⑬③⒆	decoy
⑵⒀③⒆	decoy
⑵⒀⑵⑹	deeds
⑵⒀⑫⑵	deemed
⑵⒀⑫⑹	deems
⑵⒀①⒌	deeper
⑵⒀①⑥	deeps
⑵⑬④⒋	defer
⑵⑭④②	deft
⑵⑬④⒂	defy
⑵⒁⑿⑵	deigned
⑵⑭③⒄	dekko
⑵⑬⑪⒁	delay
⑵⑭⑪④	delf
⑵⑭⑪⑹	dells
⑵⑭⑪⑷	delve
⑵⑭⑫⒄	demo
⑵⑬⑫⒋	demur
⑵⑭⑿⒍	denier
⑵⑭⑿⑹	dens
⑵⑭⑿⑥	dense
⑵⑭⑿②	dent
⑵⑬⑿⒂	deny
⑵⒎⑵⒈	deodar
⑵⑭①⒄	depot
⑵⑭①⑤	depth
⑵⒈⑴⑬	derby
⑵⒋⑴⑬	derby
⑵⑭⑥③	desk
⑵⑬②⒋	deter
⑵⒏⑥②	deuced
⑵⒏⑬⒌	dewier
⑵⒄②⑬	dhoti
⑵⒂⑯⑪	dial
⑵⒂⒌⒎	diarrhoea
⑵⒂⒌⑬	diary
⑵⑬⑴⒌	dibber
⑵⒂⑥②	diced
⑵⒂⑥⑬	dicey
⑵⑬③②	dicked
⑵⑬③⒌	dicker
⑵⑬③⑬	dicky
⑵⒂⑯②	diet
⑵⑬④⒌	differ
⑵⑬⑶⒌	digger
⑵⑬⑶⑹	digs
⑵⒂③②	diked
⑵⒂③⑥	dykes
⑵⒂⑫⑹	dimes
⑵⑬⑫⑵	dimmed
⑵⑬⑫⒌	dimmer
⑵⑬⑫⑹	dims
⑵⒀⑿⒈	dinar
⑵⒂⑿⑵	dined
⑵⒂⑿⒌	diner
⑵⒂⑿⑹	dines
⑵⑬⑿⑵	dinned
⑵⑬⑿⒌	dinner
⑵⑬⑿⑹	dins
⑵⑬⑿②	dint
⑵⒂⒄⑵	diode
⑵⑬①②	dipped
⑵⑬①⒌	dipper
⑵⑬①⑥	dips
⑵⒂⒌⒌	direr
⑵⒋③⑥	dirks
⑵⒋②⑬	dirty
⑵⑬⑥③	disk
⑵⑬⑦②	dished
⑵⑬⑦⑬	dishy
⑵⑬⑧②	ditched
⑵⑬⑸⒌	dither
⑵⑬②⒄	ditto
⑵⑬②⑬	ditty
⑵⒂⑷⑵	dived
⑵⒂⑷⒌	diver
⑵⒂⑷⑹	dives
⑵⑬⑷⑬	divvy
⑵⑬⑹⑬	dizzy
⑵⒀⑻⒁	dj
⑻⑬⑿⑹	gins
⑵⑰③②	docked
⑵⑰③⒌	docker
⑵⑰③⑥	docks
⑵⑰⑵⒌	dodder
⑵⑰⑻⑵	dodged
⑵⑰⑻⒌	dodger
⑵⑰⑻⑬	dodgy
⑵⒄⑵⒄	dodo
⑵⒀⒄⒀	doe
⑵⒅⒌⑹	doers
⑵⑰④②	doffed
⑵⑰④⑥	doffs
⑵⑰⑶⑵	dogged
⑵⑰⑶⑬	doggy
⑵⑰⑶⒄	doggo
⑵⑰⑶⑹	dogs
⑵⒆⑪⑬	doily
⑵⒅⑬⑩	doing
⑵⒄⑪⑵	doled
⑵⒄⑪⑹	doles
⑵⑰⑪⒌	dollar
⑵⑰⑪⑵	dolled
⑵⑰⑪⑹	dolls
⑵⑰⑪⑬	dolly
⑵⒄⑪②	dolt
⑵⒄⑫⑵	domed
⑵⒄⑫⑹	domes
⑵⒄⑿②	don't
⑵⑰⑿⒌	doner
⑵⑰⑿⑵	donned
⑵⒄⑿⒌	donor
⑵⑰⑿⑹	dons
⑵⒅⑫⑵	doomed
⑵⒅⑫⑹	dooms
⑵⒉⑼⒁	doorway
⑵⒄①②	doped
⑵⒄①⑥	dopes
⑵⒄①⑬	dopey
⑵⒉⑬⑹	dories
⑵⒉⑫⒌	dormer
⑵⒄⑥②	dosed
⑵⑰⑥②	dossed
⑵⑰⑥⒌	dosser
⑵⒃⑥②	dust
⑵⒄②⑥	dotes
⑵⑰②⑥	dots
⑵⑰②⑬	dotty
⑵⑲②⑥	doubts
⑵⒄⑬⒌	doughier
⑵⑲②⑬	doughty
⑵⑲⑥②	doused
⑵⒃⑷⑹	doves
⑵⑲⑵⑬	dowdy
⑵⑲⑯⑪	dowel
⑵⑲⒌⑵	dowered
⑵⑲⒌⑹	dowers
⑵⑲⑿⑵	downed
⑵⑲⑿⑹	downs
⑵⑲⑿⑬	downy
⑵⑲⒌⑬	dowry
⑵⑲⑹⑵	dowsed
⑵⑲⑹⒌	dowser
⑵⒆⑯⑿	doyen
⑵⒄⑹⑵	dozed
⑵⑾⑮⑴	drab
⑵⑾⑮⑫	dram
⑵⑾⑮⑶	drag
⑵⑾⒁⑿	drain
⑵⑾⒁③	drake
⑵⑾⒁①	drape
⑵⑾⑮②	drat
⑵⑾⒉⑹	drawers
⑵⑾⒇⑪	drawl
⑵⑾⒇⑿	drawn
⑵⑾⒇⑹	draws
⑵⑾⒁⑹	drays
⑵⑾⑭⑵	dread
⑵⑾⒀⑫	dream
⑵⑾⒍⑬	dreary
⑵⑾⑭⑻	dredge
⑵⑾⑭⑥	dress
⑵⑾⒂⑵	dried
⑵⑾⒂⒌	dryer
⑵⑾⒂⑹	dries
⑵⑾⑬⑪	drill
⑵⑾⑬①	drip
⑵⑾⒂⑷	drive
⑵⑾⒄⑶	drogue
⑵⑾⒄⑪	droll
⑵⑾⒄⑿	drone
⑵⑾⒅⑪	drool
⑵⑾⒅①	droop
⑵⑾⑰①	drop
⑵⑾⑰⑥	dross
⑵⑾⑲②	drought
⑵⑾⒄⑷	drove
⑵⑾⑲⑿	drown
⑵⑾⑲⑹	drowse
⑵⑾⒃⑴	drub
⑵⑾⒃⑻	drudge
⑵⑾⒃⑶	drug
⑵⑾⒃⑫	drum
⑵⒏⑯⑪	dual
⑵⒃⑴⑵	dubbed
⑵⒃⑴⑹	dubs
⑵⒅⑧⒁	duce
⑵⒃⑧⑬	duchy
⑵⒃③②	ducked
⑵⒃③⑥	ducks
⑵⒃③⑬	ducky
⑵⒅⑵⑹	dudes
⑵⒃⑵⑹	duds
⑵⒏⑭②	duet
⑵⒃④⒌	duffer
⑵⒃⑶⑹	dugs
⑵⒏③⑥	dukes
⑵⒃⑪⑵	dulled
⑵⒃⑪⒌	duller
⑵⒃⑪⑹	dulls
⑵⒏⑪⑬	duly
⑵⒃⑫⒌	dumber
⑵⒃⑫⑬	dummy
⑵⒃⑫①	dump
⑵⒃⑿⑥	dunce
⑵⒏⑿⑹	dunes
⑵⒃⑩③	dunk
⑵⒃⑿⑵	dunned
⑵⒃⑿⑹	duns
⑵⒏①②	duped
⑵⒏①⑥	dupes
⑵⒋⑴⒈	durbar
⑵⒋⑥②	durst
⑵⒃⑥③	dusk
⑵⒏②⑬	duty
⑵⒅⑷⒁	duvet
⑵⑼⒉④	dwarf
⑵⑼⒀⑴	dweeb
⑵⑼⑭⑪	dwell
⑵⒂⑮⑵	dyad
⑵⒂⒌⑹	dyers
⑵⒂⑬⑩	dying
⒀⑫⒁⑪	e-mail
⒀⑶⑯⑪	eagle
⒍⒁③⑥	earaches
⒍④⑱⑪	earful
⒋⑪⑬⒌	earlier
⒍⑫⒈③	earmark
⒋⑿⒌⑹	earners
⒋⑿⑬⑩	earning
⒍④⒄⑿	earphone
⒍①⒀⑥	earpiece
⒍⑾⑬⑩	earring
⒍⑦⑰②	earshot
⒋⑤⑯⑿	earthen
⒋⑤⑬⒌	earthier
⒋⑤⑬⑩	earthing
⒋⑤⑪⑬	earthly
⒍⑼⑬⑶	earwig
⒀⑹⑯⑪	easel
⒀⑹⑯⑹	eases
⒀⑹⑬⒌	easier
⒀⑹⑬⑩	easing
⒀⑥②⒌	easter
⒀②⑯⑿	eaten
⒀②⒌⑹	eaters
⒀②⑬⑩	eating
⑭⑴⑬⑩	ebbing
⒀⑴⑱③	ebook
⑭③⒄⑵	echoed
⑭③⒄⑹	echoes
⑬③⑪⒊	eclair
⒁③⑪⑳	eclat
⑭⑵⑬⑵	eddied
⑭⑵⑬⑹	eddies
⑭⑻⑯⑹	edges
⑭⑻⑬⒌	edgier
⑭⑻⑬⑩	edging
⑭⑵⑬②	edit
⑬⑵⒏⑥	educe
⒀⒀⑻⒀	eeg
⒍⑬⑪⑬	eerily
⑬④⒁⑥	efface
⑬④⒀②	effete
⑭④⑬⑩	effing
⑭④⒌②	effort
⑭④②⑥	efts
⑭⑶⑬⑩	egging
⒀⑶⒄⑹	egos
⒁②⒀⑿	eighteen
⒁②⑤⑥	eighths
⒁②⑬⑹	eighties
⒁②⒎⑤	eightieth
⒀③⑬⑩	eking
⒁⑪⑳⑿	elan
⑬⑪⒁②	elate
⑭⑪⑴⒄	elbow
⑭⑪⑵⒌	elder
⑬⑪⒂⑵	elide
⑬⑪⒀②	elite
⑭⑪③⑥	elks
⑭⑪⑫⑹	elms
⑬⑪⒄①	elope
⑬⑪⒅⑵	elude
⑭⑪⑷⒌	elver
⑭⑪⑷⑹	elves
⑭⑫⑴⒌	ember
⑭⑫⒍⑹	emirs
⑬⑫⒋⑻	emerge
⑭⑫⒌⑬	emery
⑬⑫⑬②	emit
⒀⑫⒏⑹	emus
⑰⑩③⒉	encore
⑬⑿⑵⒍	endear
⑬⑿⑵⑲	endow
⑭⑿⑵⑹	ends
⑬⑿⑵⒏	endue
⑬⑿⑻⒆	enjoy
⑰⑿⑼⒀	ennui
⑬⑿⒃④	enough
⑬⑿⑥⒏	ensue
⑭⑿②⒌	enter
⑭⑿⑷⒆	envoy
⑭⑿⑷⑬	envy
⒁①⒁⑹	epees
⑭①⑬③	epic
⒀①⑰③	epoch
⑬⑾⒁⑹	erase
⒋⑫⑬⑿	ermine
⑬⑾⒄⑵	erode
⑭⑾⒌⑹	errors
⑬⑥⑧⒅	eschew
